,TOTAL_SECONDS,SNIPPETS,THROUGH_PUT_ROWS,THROUGH_PUT_BYTES,Clusters
258,2,3,1,56,1
259,0,2,1920,15360,1
260,11,2,0,192,1
261,2,1,1,124,1
262,2,17,0,240,4
263,3,22,0,153,4
264,4,7,0,66,1
265,1,3,2,112,1
266,1,3,2,136,1
267,0,3,2,136,1
268,0,3,0,0,1
269,2,1,960,7680,1
270,3,1,640,5120,1
271,55,1,0,27,1
272,0,1,2,328,1
273,8,22,0,99,4
274,1,3,2,136,1
275,8,6,0,33,1
276,15,1,0,29,1
277,1,1,2,64,1
278,0,3,2,136,1
279,1,2,1,1876,1
280,1,1,1,12,1
281,2,2,960,7680,1
282,1,3,2,200,1
283,19,10,0,12,1
284,1,7,2,112,1
285,0,1,1,12,1
286,2,3,1,100,1
287,0,1,1,12,1
288,25,2,0,69,1
289,2,22,0,222,4
290,1,1,2,80,1
291,7,6,0,17,1
292,0,5,0,0,1
293,564,1,0,0,1
294,6,21,0,106,4
295,22,22,0,23,4
296,1,2,1,1152,1
297,9,13,0,52,4
298,1,6,2,136,1
299,3,5,0,45,1
300,12,2,0,20,1
301,71,22,0,7,4
302,0,1,2,72,1
303,0,3,2,112,1
304,2,1,1,56,1
305,3,7,0,45,1
306,5,1,0,6,1
307,1,2,1,376,1
308,7,6,0,33,1
309,2,7,1,56,1
310,0,3,1920,15360,1
311,0,4,1,56,1
312,29,6,0,6,1
313,99,2,0,25,1
314,1,1,1,12,1
315,5,4,0,9,1
316,1,10,1,224,1
317,66,3,0,2,1
318,4,1,480,3840,1
319,1,3,2,136,1
320,1,1,1,12,1
321,1,3,2,112,1
322,1,1,2,112,1
323,12,22,0,39,4
324,1,1,2,72,1
325,6,1,0,12,1
326,1,1,2,280,1
327,20,22,0,23,4
328,5,1,0,22,1
329,92,1,0,1,1
330,1,3,0,0,1
331,14,22,0,52,4
332,1,3,2,136,1
333,1,2,1920,15360,1
334,325,1,0,0,1
335,4,1,0,370,1
336,1,12,1,248,4
337,1,3,2,136,1
338,161,5,0,0,1
339,2,1,1,84,1
340,4,2,0,495,1
341,0,2,2,144,1
342,44,1,0,4,1
343,4,3,0,34,1
344,0,7,0,0,1
345,1,1,1,12,1
346,12,5,0,20,1
347,0,1,1,12,1
348,2,7,1,76,1
349,18,1,0,1,1
350,5,2,0,94,1
351,7,12,0,43,4
352,1,2,1,564,1
353,1,2,1,2124,1
354,6,2,0,445,1
355,4,10,0,52,1
356,49,9,0,13,1
357,19,22,0,24,4
358,6,2,0,181,1
359,1,2,1,2364,1
360,1,1,2,104,1
361,0,1,2,32,1
362,4,22,0,153,4
363,0,1,1,12,1
364,0,1,1,12,1
365,106,1,0,1,1
366,33,1,0,0,1
367,1,1,2,456,1
368,2,2,1,48,1
369,4,2,0,344,1
370,11,2,0,90,1
371,0,3,2,112,1
372,0,1,2,112,1
373,1,1,2,112,1
374,5,4,0,1,1
375,2,2,0,1636,1
376,2,1,0,6,1
377,0,2,1,660,1
378,0,1,2,80,1
379,36,1,0,2,1
380,29,16,0,15,4
381,102,1,0,4,1
382,0,3,2,136,1
383,40,2,0,19,1
384,0,3,2,136,1
385,324,51,0,0,4
386,0,5,0,0,1
387,65,1,0,0,1
388,2,22,0,292,4
389,2,2,0,82,1
390,2,2,0,1586,1
391,63,22,0,7,4
392,37,22,0,12,4
393,0,7,1,168,1
394,7,1,0,16,1
395,1,2,1,3180,1
396,71,4,0,33,1
397,34,22,0,19,4
398,0,3,2,136,1
399,1,1,1,12,1
400,0,1,1,12,1
401,4,21,0,127,4
402,0,3,1920,15360,1
403,13,2,0,59,1
404,4,2,0,635,1
405,3,6,0,56,1
406,10,5,0,32,1
407,2,2,960,7680,1
408,4,22,0,135,4
409,18,20,0,5,4
410,0,1,1,12,1
411,5,2,0,216,1
412,12,6,0,24,1
413,8,21,0,63,4
414,9,7,0,25,1
415,0,3,2,112,1
416,27,22,0,17,4
417,12,8,0,28,1
418,0,1,1,12,1
419,1,3,2,112,1
420,4,22,0,125,4
421,12,2,0,51,1
422,15,2,0,134,1
423,0,3,2,136,1
424,0,1,1920,15360,1
425,1,1,1920,15360,1
426,0,1,1920,15360,1
427,1,1,1,12,1
428,1,3,2,136,1
429,0,12,1,252,4
430,4,22,0,125,4
431,2,2,0,216,1
432,1,3,2,112,1
433,1,4,1,68,1
434,690,22,0,0,4
435,0,1,0,0,1
436,3,4,640,5120,1
437,15,1,0,4,1
438,1,6,2,808,1
439,4,10,0,22,1
440,3,21,0,224,4
441,1,3,2,136,1
442,23,1,0,2,1
443,0,3,0,0,1
444,1,3,2,136,1
445,68,4,0,4,1
446,1,1,1,12,1
447,0,3,0,0,1
448,358,87,0,0,4
449,3,22,0,157,4
450,6,2,0,376,1
451,2,2,0,256,1
452,2,2,0,778,1
453,2,2,0,938,1
454,6,5,0,81,1
455,1,1,2,72,1
456,8,2,0,91,1
457,2,5,1,84,1
458,28,5,0,8,1
459,214,22,0,2,4
460,1,3,2,216,1
461,1,1,2,112,1
462,16,22,0,38,4
463,3,2,0,162,1
464,0,1,1,12,1
465,2,1,1,56,1
466,6,6,0,32,1
467,12,1,0,9,1
468,3,22,0,168,4
469,1,12,1,248,4
470,6,21,0,102,4
471,4,7,0,74,1
472,2,1,1,56,1
473,5,1,0,104,1
474,55,6,0,6,1
475,8,2,0,100,1
476,7,22,0,66,4
477,0,2,1920,15360,1
478,10,18,0,40,4
479,0,1,1,12,1
480,0,6,2,96,1
481,1,22,1,452,4
482,0,1,2,112,1
483,4,1,0,26,1
484,80,9,0,15,1
485,0,1,2,72,1
486,3,2,0,240,1
487,8,5,0,29,1
488,1,1,2,80,1
489,2,5,1,200,1
490,6,1,0,8,1
491,3,7,0,74,1
492,0,1,1,12,1
493,31,6,0,7,1
494,0,3,2,136,1
495,4,1,0,58,1
496,1,3,2,112,1
497,0,3,2,136,1
498,211,1,0,1,1
499,1,1,1,12,1
500,4,22,0,155,4
501,1,16,1,412,4
502,1,1,2,32,1
503,0,3,2,112,1
504,5,1,0,344,1
505,5,22,0,92,4
506,15,5,0,11,1
507,1,20,1,460,4
508,0,3,0,0,1
509,4,22,0,163,4
510,1,1,2,48,1
511,5,1,0,22,1
512,4,22,0,161,4
513,2,2,0,1464,1
514,0,1,1,12,1
515,6,22,0,101,4
516,1,4,1,60,1
517,1,1,1,12,1
518,0,3,2,104,1
519,6,2,0,389,1
520,0,1,0,0,1
521,4,1,0,70,1
522,2,10,0,104,1
523,0,6,2,104,1
524,8,1,0,21,1
525,43,6,0,2,1
526,8,2,0,340,1
527,17,8,0,9,1
528,15,7,0,12,1
529,2,1,1,76,1
530,1,1,1920,15360,1
531,0,1,2,32,1
532,18,20,0,30,4
533,2,2,0,1586,1
534,2,2,0,242,1
535,205,3,0,3,1
536,11,7,0,10,1
537,7,14,0,49,4
538,1,3,2,136,1
539,10,7,0,42,1
540,3,22,0,186,4
541,1,3,0,0,1
542,566,2,0,0,1
543,0,1,2,48,1
544,0,2,1920,15360,1
545,62,22,0,8,4
546,0,1,1,12,1
547,3,7,0,48,1
548,0,1,2,112,1
549,0,1,2,32,1
550,0,3,2,136,1
551,18,1,0,6,1
552,160,1,0,0,1
553,3,1,0,37,1
554,1,2,1,320,1
555,73,2,0,30,1
556,4,10,0,69,1
557,44,1,0,2,1
558,22,1,0,6,1
559,56,1,0,1,1
560,0,3,0,0,1
561,2,3,1,368,1
562,1,3,2,200,1
563,1,2,1920,15360,1
564,1,2,1,660,1
565,2,14,0,192,4
566,2,2,0,336,1
567,3,3,0,45,1
568,3,2,0,190,1
569,1,2,1,1732,1
570,4,3,0,34,1
571,0,1,1920,15360,1
572,1,3,2,136,1
573,26,5,0,5,1
574,1,1,1,12,1
575,9,22,0,63,4
576,3,1,0,53,1
577,4,2,0,190,1
578,0,5,2,168,1
579,1,1,2,112,1
580,2,1,1,56,1
581,3,22,0,162,4
582,20,21,0,41,4
583,0,1,1,12,1
584,7,1,0,10,1
585,4,6,0,27,1
586,8,5,0,47,1
587,1,3,2,136,1
588,1,2,1,636,1
589,1,2,2,144,1
590,1,3,2,136,1
591,2,11,0,144,1
592,8,22,0,88,4
593,36,2,0,3,1
594,1,1,2,104,1
595,40,14,0,12,4
596,7,2,0,330,1
597,17,2,0,125,1
598,0,1,2,112,1
599,1,1,1,12,1
600,2,1,0,6,1
601,2,4,1,80,1
602,2,2,0,72,1
603,0,1,2,48,1
604,5,1,0,22,1
605,1,1,2,104,1
606,0,3,0,0,1
607,0,1,1,12,1
608,6,2,0,29,1
609,10,2,0,252,1
610,1,1,1,12,1
611,1,3,2,136,1
612,18,2,0,66,1
613,4,21,0,123,4
614,1,1,2,112,1
615,1,3,2,136,1
616,17,2,0,51,1
617,216,2,0,2,1
618,0,1,1920,15360,1
619,0,1,1,12,1
620,2,22,0,284,4
621,2,2,0,812,1
622,0,1,1920,15360,1
623,1,6,2,296,1
624,1,2,1,656,1
625,0,2,2,144,1
626,0,3,0,0,1
627,34,22,0,18,4
628,14,2,0,175,1
629,6,2,0,275,1
630,21,1,0,25,1
631,3,22,0,153,4
632,2,1,1,64,1
633,3,4,0,141,1
634,6,3,0,177,1
635,13,9,0,8,1
636,7,2,0,317,1
637,5,1,384,3072,1
638,2,2,0,216,1
639,5,2,0,317,1
640,74,1,0,1,1
641,0,1,1920,15360,1
642,1,3,2,112,1
643,1,6,0,0,1
644,1,2,1920,15360,1
645,20,6,0,4,1
646,3,4,0,144,1
647,5,5,0,70,1
648,0,1,1920,15360,1
649,1,22,1,740,4
650,14,22,0,36,4
651,6,1,0,329,1
652,6,22,0,84,4
653,19,5,0,26,1
654,5,16,0,68,4
655,1,1,1,12,1
656,8,2,0,143,1
657,5,9,0,62,1
658,49,1,0,1,1
659,0,1,1,12,1
660,0,1,1,12,1
661,1,2,1,104,1
662,5,1,0,22,1
663,1,3,2,136,1
664,18,21,0,31,4
665,2,16,0,220,4
666,3,7,0,88,1
667,85,2,0,9,1
668,0,1,2,72,1
669,146,21,0,4,4
670,1,3,2,680,1
671,3,1,0,37,1
672,3,22,0,181,4
673,0,1,1920,15360,1
674,0,7,2,240,1
675,0,3,2,136,1
